package	version	architecture	source	package_url	size	sha256	requested_by
libdbus-1-3	1.14.10-4ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/dbus/libdbus-1-3_1.14.10-4ubuntu4.1_amd64.deb	209734	5d630480f04b4b442300ce847a3fa705ea4d14d80ba6de91f99b51a4e4953b08	apt-closure
libdevmapper-event1.02.1	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/libdevmapper-event1.02.1_1.02.185-3ubuntu3.2_amd64.deb	12586	7fabf1d0874b86ee96bec13dbbd01a455264e1adcf1076ae88f7487bf452e4fd	apt-closure
libdevmapper1.02.1	2:1.02.185-3ubuntu3.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/l/lvm2/libdevmapper1.02.1_1.02.185-3ubuntu3.2_amd64.deb	139194	0d43a02b9030a50edbc49c9580f88f01eef2b043baad1c6200672c39643c0efe	apt-closure
libdrm-common	2.4.125-1ubuntu0.1~24.04.2	all	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libd/libdrm/libdrm-common_2.4.125-1ubuntu0.1%7e24.04.2_all.deb	9250	0b60996bc18fa1545e60a47bb0fe1a7f360ec06fe62ba35fb8d8ba2a54e62166	apt-closure
libdrm2	2.4.125-1ubuntu0.1~24.04.2	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libd/libdrm/libdrm2_2.4.125-1ubuntu0.1%7e24.04.2_amd64.deb	41388	4d3e858dd57be617c49d87c5ddcdb35df744a4f0a559981256ae2ba174718584	apt-closure
libdw1t64	0.190-1.1ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/elfutils/libdw1t64_0.190-1.1ubuntu0.1_amd64.deb	261194	edaa9ce4221d95f4bd72a9805100902e313092a2f31a7a51e7186be97734714d	apt-closure
libedit2	3.1-20230828-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libe/libedit/libedit2_3.1-20230828-1build1_amd64.deb	97586	3afbc8ddf835049dd4d88275b9d13680e4c4cdd59e191cbd63424152cc08e00e	apt-closure
libelf1t64	0.190-1.1ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/elfutils/libelf1t64_0.190-1.1ubuntu0.1_amd64.deb	57810	b4aee123a37472d213647594b4f7d4a0d13615b0ca2a6fd33926b768d6b232c2	apt-closure
liberror-perl	0.17029-2	all	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libe/liberror-perl/liberror-perl_0.17029-2_all.deb	25632	1907af6bf33dd8684447c09f216c675d2b8559fadd8ddace29fbf83c6fb2a636	apt-closure
libexpat1	2.6.1-2ubuntu0.4	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/expat/libexpat1_2.6.1-2ubuntu0.4_amd64.deb	88214	126a5612e652bdc2edee19ae8fe4308db72b5b3b0a5581bf885b44a093baf3e5	apt-closure
libext2fs2t64	1.47.0-2.4~exp1ubuntu4.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/e/e2fsprogs/libext2fs2t64_1.47.0-2.4%7eexp1ubuntu4.1_amd64.deb	221728	276686704314749497f1530ff9e62fd0280328be786a28db0cfe2aa31c88119e	apt-closure
libfdisk1	2.39.3-9ubuntu6.5	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/u/util-linux/libfdisk1_2.39.3-9ubuntu6.5_amd64.deb	146354	a67f2ed8b8a0323ab3c1e33a8caf81b9bf8ceb1d3586ec5600f40e1406c48f6a	apt-closure
libfdt1	1.7.0-2build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/d/device-tree-compiler/libfdt1_1.7.0-2build1_amd64.deb	20128	274d20dfab9d6b216b5de85446a93f6ce5b2cd82c847b8dfdc508577f76eb96a	apt-closure
libffi8	3.4.6-1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libf/libffi/libffi8_3.4.6-1build1_amd64.deb	24718	637e6a7744de08cd331a41f4efd0d24e6ea9064843dea9d1c6ca87bdb5f038a2	apt-closure
libfuse3-3	3.14.0-5build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/f/fuse3/libfuse3-3_3.14.0-5build1_amd64.deb	83124	3042159c6d7d4dcb3df9d49cd21e49ecb57f4ba8c4153a72102f512a4fc534a2	apt-closure
libgcc-s1	14.2.0-4ubuntu2~24.04.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gcc-14/libgcc-s1_14.2.0-4ubuntu2%7e24.04.1_amd64.deb	78392	aa7fadbe33b78bcf99885318040601c550c208929565b179891d9a3cc2aa68cd	apt-closure
libgcrypt20	1.10.3-2ubuntu0.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libg/libgcrypt20/libgcrypt20_1.10.3-2ubuntu0.1_amd64.deb	532392	69569eb6b4ab1de6dad556d06cabb236b9a8b07145edf18197256a0dedfaabc9	apt-closure
libgdbm-compat4t64	1.23-5.1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gdbm/libgdbm-compat4t64_1.23-5.1build1_amd64.deb	6710	fb8564afd7b7d74d55207070ba50339478e22d29a39ec740dc482f069ac7ee65	apt-closure
libgdbm6t64	1.23-5.1build1	amd64	Ubuntu:noble:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gdbm/libgdbm6t64_1.23-5.1build1_amd64.deb	34440	18d6d74a5c038b458d95ba0c0909e0f086cd50bb9a0fee32697902724fc5645e	apt-closure
libglib2.0-0t64	2.80.0-6ubuntu3.8	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/glib2.0/libglib2.0-0t64_2.80.0-6ubuntu3.8_amd64.deb	1545474	ca4eda0e01c76ba2e5e501e77decce53d98a641234b517eb98fc5d74980f913f	apt-closure
libgmp10	2:6.3.0+dfsg-2ubuntu6.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gmp/libgmp10_6.3.0%2bdfsg-2ubuntu6.1_amd64.deb	253460	285f8a505dfa8e1b33f357a9d8d3477ad35bf18c0b34771a6df4c25923f3ae0d	apt-closure
libgnutls30t64	3.8.3-1.1ubuntu3.6	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/g/gnutls28/libgnutls30t64_3.8.3-1.1ubuntu3.6_amd64.deb	1002902	b8944756260c5ea6b7fac019745f931f905aa7a4df0763676b1b25c911b692e2	apt-closure
libgpg-error0	1.47-3build2.1	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/libg/libgpg-error/libgpg-error0_1.47-3build2.1_amd64.deb	70092	93654ee8180a73a0363f25c51dc673d67cbabcbecd164187b8a2deb54d007aef	apt-closure
libgssapi-krb5-2	1.20.1-6ubuntu2.7	amd64	Ubuntu:noble-updates:main:nova.clouds.archive.ubuntu.com	http://nova.clouds.archive.ubuntu.com/ubuntu/pool/main/k/krb5/libgssapi-krb5-2_1.20.1-6ubuntu2.7_amd64.deb	142698	212ea4cb04b63b89b3f1f9f819925d608a0d09e1d0bd6fedadcc8c80dff9c64b	apt-closure
